title_supplier,artist,title_norm,author_norm,title_ref,author,author_norm_supplier,author_norm_ref,provider,file
TUDO PASSA,,tudo passa,,TUDO PASSA,T-040.070.521-6,none,t-040.070.521-6,Aparecida,12-DEZ2023-SINCRONIZACAO MUSICAL-TV APARECIDA.xlsx
PROPOSTA,,proposta,,PROPOSTA,T-313.413.810-2,none,t-313.413.810-2,Aparecida,12-DEZ2023-SINCRONIZACAO MUSICAL-TV APARECIDA.xlsx
FIM DE ANO,,fim de ano,,FIM DE ANO,T-322.186.020-0,none,t-322.186.020-0,Aparecida,12-DEZ2023-SINCRONIZACAO MUSICAL-TV APARECIDA.xlsx
FELIZ NATAL,,feliz natal,,FELIZ NATAL,,none,,Aparecida,12-DEZ2023-SINCRONIZACAO MUSICAL-TV APARECIDA.xlsx
UTOPIA,,utopia,,UTOPIA,T-040.522.248-1,none,t-040.522.248-1,Aparecida,12-DEZ2023-SINCRONIZACAO MUSICAL-TV APARECIDA.xlsx
UTOPIA,,utopia,,UTOPIA,T-329.283.611-0,none,t-329.283.611-0,Aparecida,12-DEZ2023-SINCRONIZACAO MUSICAL-TV APARECIDA.xlsx
TATUAGEM,,tatuagem,,TATUAGEM,,none,,Aparecida,12-DEZ2023-SINCRONIZACAO MUSICAL-TV APARECIDA.xlsx
BALA PERDIDA,,bala perdida,,BALA PERDIDA,T-330.774.826-7,none,t-330.774.826-7,Aparecida,12-DEZ2023-SINCRONIZACAO MUSICAL-TV APARECIDA.xlsx
AMIGO,,amigo,,AMIGO,,none,,Aparecida,12-DEZ2023-SINCRONIZACAO MUSICAL-TV APARECIDA.xlsx
MARIA,,maria,,MARIA,T-307.006.304-2,none,t-307.006.304-2,Aparecida,12-DEZ2023-SINCRONIZACAO MUSICAL-TV APARECIDA.xlsx
MARIA,,maria,,MARIA,T-311.953.638-4,none,t-311.953.638-4,Aparecida,12-DEZ2023-SINCRONIZACAO MUSICAL-TV APARECIDA.xlsx
PAU MANDADO,,pau mandado,,PAU MANDADO,T-322.010.789-7,none,t-322.010.789-7,Aparecida,12-DEZ2023-SINCRONIZACAO MUSICAL-TV APARECIDA.xlsx
FELICIDADE,ELENCO,felicidade,,FELICIDADE,,elenco,,Desconhecido,Ubem_MusicCueSheet_OriginaisGloboplay_Janeiro24.xlsx
AMANHA,ELENCO,amanha,,AMANHÃ,T-307.004.953-1,elenco,t-307.004.953-1,Desconhecido,Ubem_MusicCueSheet_OriginaisGloboplay_Janeiro24.xlsx
PRELUDIO,ELENCO,preludio,,PRELÚDIO,,elenco,,Desconhecido,Ubem_MusicCueSheet_OriginaisGloboplay_Janeiro24.xlsx
ESPELHO,RONALD DJ / MC DAVI,espelho,,ESPELHO,T-931.652.333-8,ronald dj / mc davi,t-931.652.333-8,Band,band UNIFICADO out dez 2023 jan fev 2024.xls
ESPELHO,RONALD DJ / MC DAVI,espelho,,ESPELHO,T-335.571.845-1,ronald dj / mc davi,t-335.571.845-1,Band,band UNIFICADO out dez 2023 jan fev 2024.xls
BIPOLAR,RONALD DJ / MC DAVI,bipolar,,BIPOLAR,T-328.613.240-5,ronald dj / mc davi,t-328.613.240-5,Band,band UNIFICADO out dez 2023 jan fev 2024.xls
VERMELHO ,CALOUROS,vermelho,,VERMELHO,T-313.315.106-7,calouros,t-313.315.106-7,Band,band UNIFICADO out dez 2023 jan fev 2024.xls
LUA CHEIA,WANESSA CAMARGO,lua cheia,,LUA CHEIA,T-316.329.265-3,wanessa camargo,t-316.329.265-3,Band,band UNIFICADO out dez 2023 jan fev 2024.xls
VAMOS FUGIR,THE WAILERS BAND,vamos fugir,,VAMOS FUGIR,T-305.415.581-2,the wailers band,t-305.415.581-2,Band,band UNIFICADO out dez 2023 jan fev 2024.xls
FINAL DE SEMANA,SEU JORGE / PAPATINHO E BLACK ALIEN,final de semana,,FINAL DE SEMANA,T-303.016.328-7,seu jorge / papatinho e black alien,t-303.016.328-7,Band,band UNIFICADO out dez 2023 jan fev 2024.xls
FELICIDADE,SEU JORGE / ALEXANDRE PIRES,felicidade,,FELICIDADE,,seu jorge / alexandre pires,,Band,band UNIFICADO out dez 2023 jan fev 2024.xls
COBRA,FAR FROM ALASKA,cobra,,COBRA,,far from alaska,,Band,band UNIFICADO out dez 2023 jan fev 2024.xls
FINAL FELIZ,MARCOS FELIPE,final feliz,,FINAL FELIZ,T-315.996.147-0,marcos felipe,t-315.996.147-0,Band,band UNIFICADO out dez 2023 jan fev 2024.xls
MORENA,A MELHOR BANDA DA NOITE,morena,,MORENA,,a melhor banda da noite,,Band,band UNIFICADO out dez 2023 jan fev 2024.xls
MORENA,A MELHOR BANDA DA NOITE,morena,,MORENA,T-312.550.698-7,a melhor banda da noite,t-312.550.698-7,Band,band UNIFICADO out dez 2023 jan fev 2024.xls
NOBRE VAGABUNDO,A MELHOR BANDA DA NOITE,nobre vagabundo,,NOBRE VAGABUNDO,T-300.975.560-2,a melhor banda da noite,t-300.975.560-2,Band,band UNIFICADO out dez 2023 jan fev 2024.xls
GAME OVER,TEE LOPES,game over,,GAME OVER,,tee lopes,,Band,band UNIFICADO out dez 2023 jan fev 2024.xls
CALMA RESPIRA,FABIANA GODOY,calma respira,,CALMA RESPIRA,T-317.934.284-4,fabiana godoy,t-317.934.284-4,Band,band UNIFICADO out dez 2023 jan fev 2024.xls
BRASILEIRO,CHICO SALLES,brasileiro,,BRASILEIRO,T-313.795.711-6,chico salles,t-313.795.711-6,Band,band UNIFICADO out dez 2023 jan fev 2024.xls
SINAIS,LUAN SANTANA,sinais,,SINAIS,T-039.662.232-4,luan santana,t-039.662.232-4,Band,band UNIFICADO out dez 2023 jan fev 2024.xls
SAMPA,FERNANDA PORTO                     ,sampa,,SAMPA,,fernanda porto,,Band,band UNIFICADO out dez 2023 jan fev 2024.xls
SAMPA,CAETANO VELOSO,sampa,,SAMPA,,caetano veloso,,Band,band UNIFICADO out dez 2023 jan fev 2024.xls
SAO PAULO,FERNANDA ABREU,sao paulo,,SÃO PAULO,,fernanda abreu,,Band,band UNIFICADO out dez 2023 jan fev 2024.xls
NOCAUTE,JORGE E MATEUS,nocaute,,NOCAUTE,T-317.794.059-5,jorge e mateus,t-317.794.059-5,Band,band UNIFICADO out dez 2023 jan fev 2024.xls
MONALISA,NAT KING COLE,monalisa,,MONALISA,,nat king cole,,Band,band UNIFICADO out dez 2023 jan fev 2024.xls
ACABOU,RICARDO CHAVES,acabou,,ACABOU,T-039.497.780-0,ricardo chaves,t-039.497.780-0,Band,band UNIFICADO out dez 2023 jan fev 2024.xls
ESPELHO,MC HARIEL / DJ RONALD,espelho,,ESPELHO,T-931.652.333-8,mc hariel / dj ronald,t-931.652.333-8,Band,band UNIFICADO out dez 2023 jan fev 2024.xls
ESPELHO,MC HARIEL / DJ RONALD,espelho,,ESPELHO,T-335.571.845-1,mc hariel / dj ronald,t-335.571.845-1,Band,band UNIFICADO out dez 2023 jan fev 2024.xls
MAGICA,HUGO E GUILHERME,magica,,MÁGICA,T-307.416.503-6,hugo e guilherme,t-307.416.503-6,Band,band UNIFICADO out dez 2023 jan fev 2024.xls
MORENA,LUAN SANTANA,morena,,MORENA,,luan santana,,Band,band UNIFICADO out dez 2023 jan fev 2024.xls
MORENA,LUAN SANTANA,morena,,MORENA,T-312.550.698-7,luan santana,t-312.550.698-7,Band,band UNIFICADO out dez 2023 jan fev 2024.xls
VINGANCA,LUAN SANTANA,vinganca,,VINGANÇA,T-040.226.902-6,luan santana,t-040.226.902-6,Band,band UNIFICADO out dez 2023 jan fev 2024.xls
DEJA VU,LUAN SANTANA,deja vu,,DÉJÀ VU,T-308.187.765-4,luan santana,t-308.187.765-4,Band,band UNIFICADO out dez 2023 jan fev 2024.xls
FOGUEIRA,JORGE E MATEUS,fogueira,,FOGUEIRA,,jorge e mateus,,Band,band UNIFICADO out dez 2023 jan fev 2024.xls
LOGO EU,REYNAN E RAYSSA,logo eu,,LOGO EU,,reynan e rayssa,,Band,band UNIFICADO out dez 2023 jan fev 2024.xls
MISTERIO,JORGE E MATEUS,misterio,,MISTERIO,T-040.150.639-5,jorge e mateus,t-040.150.639-5,Band,band UNIFICADO out dez 2023 jan fev 2024.xls
AURORA BOREAL,RAEL,aurora boreal,,AURORA BOREAL,T-931.652.334-9,rael,t-931.652.334-9,Band,band UNIFICADO out dez 2023 jan fev 2024.xls
ELEANOR RIGBY,A MELHOR BANDA DA NOITE,eleanor rigby,,ELEANOR RIGBY,T-316.183.091-3,a melhor banda da noite,t-316.183.091-3,Band,band UNIFICADO out dez 2023 jan fev 2024.xls
CHOCOLATE,TIM MAIA,chocolate,,CHOCOLATE,T-322.528.891-1,tim maia,t-322.528.891-1,Band,band UNIFICADO out dez 2023 jan fev 2024.xls
PROPOSTA,ANDREA LAIS / FELIPE BARROS / MESASONORA / NIVEA ARAUJO / PEDRO FONSECA,proposta,,PROPOSTA,T-313.413.810-2,andrea lais / felipe barros / mesasonora / nivea araujo / pedro fonseca,t-313.413.810-2,Band,band UNIFICADO out dez 2023 jan fev 2024.xls
TEU SEGREDO,JEITO MOLEQUE                      ,teu segredo,,TEU SEGREDO,T-303.014.148-7,jeito moleque,t-303.014.148-7,Band,band UNIFICADO out dez 2023 jan fev 2024.xls
REVOADA,TUKUM,revoada,,REVOADA,T-306.358.236-1,tukum,t-306.358.236-1,Band,band UNIFICADO out dez 2023 jan fev 2024.xls
PESCADOR,MESTRE AMBROSIO,pescador,,PESCADOR,T-040.147.696-7,mestre ambrosio,t-040.147.696-7,Band,band UNIFICADO out dez 2023 jan fev 2024.xls
FASHION,LADY GAGA,fashion,,FASHION,T-305.215.259-3,lady gaga,t-305.215.259-3,Band,band UNIFICADO out dez 2023 jan fev 2024.xls
AMANHECER,SAM ALVES,amanhecer,,AMANHECER,T-040.285.612-5,sam alves,t-040.285.612-5,Band,band UNIFICADO out dez 2023 jan fev 2024.xls
MACETANDO,IVETE SANGALO / LUDMILLA,macetando,,MACETANDO,T-318.000.000-0,ivete sangalo / ludmilla,t-318.000.000-0,Band,band UNIFICADO out dez 2023 jan fev 2024.xls
FLASHBACK,LEO SANTANA / MARVVILA,flashback,,FLASHBACK,T-318.297.793-7,leo santana / marvvila,t-318.297.793-7,Band,band UNIFICADO out dez 2023 jan fev 2024.xls
ROSA,OLODUM / PERICLES,rosa,,ROSA,T-039.167.643-9,olodum / pericles,t-039.167.643-9,Band,band UNIFICADO out dez 2023 jan fev 2024.xls
VIVRE LA VIE,KELLY JOYCE,vivre la vie,,VIVRE LA VIE,,kelly joyce,,Band,band UNIFICADO out dez 2023 jan fev 2024.xls
VAI NO CHAO,LEO SANTANA,vai no chao,,VAI NO CHÃO,T-040.453.902-1,leo santana,t-040.453.902-1,Band,band UNIFICADO out dez 2023 jan fev 2024.xls
VAI NO CHAO,LEO SANTANA,vai no chao,,VAI NO CHÃO,T-303.762.939-9,leo santana,t-303.762.939-9,Band,band UNIFICADO out dez 2023 jan fev 2024.xls
VAI NO CHAO,LEO SANTANA,vai no chao,,VAI NO CHÃO,,leo santana,,Band,band UNIFICADO out dez 2023 jan fev 2024.xls
MACETANDO,IVETE SANGALO,macetando,,MACETANDO,T-318.000.000-0,ivete sangalo,t-318.000.000-0,Band,band UNIFICADO out dez 2023 jan fev 2024.xls
ANJOS,MARCELO FALCAO,anjos,,ANJOS,T-307.003.484-9,marcelo falcao,t-307.003.484-9,Band,band UNIFICADO out dez 2023 jan fev 2024.xls
MACETANDO,LEO SANTANA,macetando,,MACETANDO,T-318.000.000-0,leo santana,t-318.000.000-0,Band,band UNIFICADO out dez 2023 jan fev 2024.xls
AI AI AI,VANESSA DA MATA,ai ai ai,,AI AI AI,T-305.267.265-4,vanessa da mata,t-305.267.265-4,Band,band UNIFICADO out dez 2023 jan fev 2024.xls
MACETANDO,IVETE SANGALO / GILMELANDIA,macetando,,MACETANDO,T-318.000.000-0,ivete sangalo / gilmelandia,t-318.000.000-0,Band,band UNIFICADO out dez 2023 jan fev 2024.xls
PODEROSA,THIAGUINHO,poderosa,,PODEROSA,T-304.309.033-7,thiaguinho,t-304.309.033-7,Band,band UNIFICADO out dez 2023 jan fev 2024.xls
MACETANDO,XANDDY HARMONIA,macetando,,MACETANDO,T-318.000.000-0,xanddy harmonia,t-318.000.000-0,Band,band UNIFICADO out dez 2023 jan fev 2024.xls
ZIRIGUIDUM,FILHOS DE JORGE,ziriguidum,,ZIRIGUIDUM,T-039.612.760-8,filhos de jorge,t-039.612.760-8,Band,band UNIFICADO out dez 2023 jan fev 2024.xls
MASCARA,PITTY,mascara,,MÁSCARA,,pitty,,Band,band UNIFICADO out dez 2023 jan fev 2024.xls
MARACATU                                          ,ALCEU VALENÇA,maracatu,,MARACATU,,alceu valenca,,Band,band UNIFICADO out dez 2023 jan fev 2024.xls
HEY,IVETE SANGALO,hey,,HEY,T-305.219.212-4,ivete sangalo,t-305.219.212-4,Band,band UNIFICADO out dez 2023 jan fev 2024.xls
PACIENCIA,LENINE,paciencia,,PACIENCIA,T-039.497.721-9,lenine,t-039.497.721-9,Band,band UNIFICADO out dez 2023 jan fev 2024.xls
PACIENCIA,LENINE,paciencia,,PACIÊNCIA,T-040.522.253-8,lenine,t-040.522.253-8,Band,band UNIFICADO out dez 2023 jan fev 2024.xls
FAVELA,LEO SANTANA,favela,,FAVELA,,leo santana,,Band,band UNIFICADO out dez 2023 jan fev 2024.xls
POC POC,PEDRO SAMPAIO,poc poc,,POC POC,,pedro sampaio,,Band,band UNIFICADO out dez 2023 jan fev 2024.xls
CAMINHOS DO MAR,GAL COSTA,caminhos do mar,,CAMINHOS DO MAR,T-039.094.761-1,gal costa,t-039.094.761-1,Band,band UNIFICADO out dez 2023 jan fev 2024.xls
MORENA,DUDU NOBRE,morena,,MORENA,,dudu nobre,,Band,band UNIFICADO out dez 2023 jan fev 2024.xls
MORENA,DUDU NOBRE,morena,,MORENA,T-312.550.698-7,dudu nobre,t-312.550.698-7,Band,band UNIFICADO out dez 2023 jan fev 2024.xls
ESSA E PRA VOCE,CLARICE FALCAO,essa e pra voce,,ESSA É PRA VOCE,T-040.048.737-7,clarice falcao,t-040.048.737-7,Band,band UNIFICADO out dez 2023 jan fev 2024.xls
TEMPORAL,SAMBA 90 GRAUS,temporal,,TEMPORAL,T-307.003.180-6,samba 90 graus,t-307.003.180-6,Band,band UNIFICADO out dez 2023 jan fev 2024.xls
ORACAO ,A MELHOR BANDA DA CIDADE,oracao,,ORACAO,T-040.521.423-4,a melhor banda da cidade,t-040.521.423-4,Band,band UNIFICADO out dez 2023 jan fev 2024.xls
FORTALEZA,CIDADAO INSTIGADO,fortaleza,,FORTALEZA,T-040.219.082-2,cidadao instigado,t-040.219.082-2,Band,band UNIFICADO out dez 2023 jan fev 2024.xls
NHEENGATU,KURUP,nheengatu,,NHEENGATU,,kurup,,Band,band UNIFICADO out dez 2023 jan fev 2024.xls
UVA NIAGARA,ANELIS ASSUMPCAO / LARISSA LUZ,uva niagara,,UVA NIAGARA,T-318.619.486-1,anelis assumpcao / larissa luz,t-318.619.486-1,Band,band UNIFICADO out dez 2023 jan fev 2024.xls
MORENA,CLAYTON E ROMARIO,morena,,MORENA,,clayton e romario,,Band,band UNIFICADO out dez 2023 jan fev 2024.xls
MORENA,CLAYTON E ROMARIO,morena,,MORENA,T-312.550.698-7,clayton e romario,t-312.550.698-7,Band,band UNIFICADO out dez 2023 jan fev 2024.xls
DEJA VU,ANA CASTELA / LUAN SANTANA,deja vu,,DÉJÀ VU,T-308.187.765-4,ana castela / luan santana,t-308.187.765-4,Band,band UNIFICADO out dez 2023 jan fev 2024.xls
LOGO EU,JORGE E MATHEUS,logo eu,,LOGO EU,,jorge e matheus,,Band,band UNIFICADO out dez 2023 jan fev 2024.xls
MÁGICA,HUGO E GUILHERME,magica,,MÁGICA,T-307.416.503-6,hugo e guilherme,t-307.416.503-6,Band,band UNIFICADO out dez 2023 jan fev 2024.xls
MACETANDO,IVETE SANGALO E LUDMILLA,macetando,,MACETANDO,T-318.000.000-0,ivete sangalo e ludmilla,t-318.000.000-0,Band,band UNIFICADO out dez 2023 jan fev 2024.xls
VERMELHO,VANESSA DA MATA,vermelho,,VERMELHO,T-313.315.106-7,vanessa da mata,t-313.315.106-7,Band,band UNIFICADO out dez 2023 jan fev 2024.xls
MACETANDO,MARCIO VICTOR,macetando,,MACETANDO,T-318.000.000-0,marcio victor,t-318.000.000-0,Band,band UNIFICADO out dez 2023 jan fev 2024.xls
SAMURAI                                           ,DJAVAN,samurai,,SAMURAI,T-300.960.761-4,djavan,t-300.960.761-4,Band,band UNIFICADO out dez 2023 jan fev 2024.xls
DESAFIO,DUDU NOBRE / EDILSON CAPETINHA,desafio,,DESAFIO,T-040.453.293-9,dudu nobre / edilson capetinha,t-040.453.293-9,Band,band UNIFICADO out dez 2023 jan fev 2024.xls
DESAFIO,DUDU NOBRE / EDILSON CAPETINHA,desafio,,DESAFIO,T-312.554.786-2,dudu nobre / edilson capetinha,t-312.554.786-2,Band,band UNIFICADO out dez 2023 jan fev 2024.xls
VERDADE                                           ,DUDU NOBRE / EDILSON CAPETINHA,verdade,,VERDADE,T-302.003.913-4,dudu nobre / edilson capetinha,t-302.003.913-4,Band,band UNIFICADO out dez 2023 jan fev 2024.xls
SE JOGA,NALDO BENNY,se joga,,SE JOGA,T-931.480.187-1,naldo benny,t-931.480.187-1,Band,band UNIFICADO out dez 2023 jan fev 2024.xls
BANDIDA,CLEO PIRES,bandida,,BANDIDA,,cleo pires,,Band,band UNIFICADO out dez 2023 jan fev 2024.xls
BANDIDA,CLEO PIRES,bandida,,BANDIDA,T-313.263.400-1,cleo pires,t-313.263.400-1,Band,band UNIFICADO out dez 2023 jan fev 2024.xls
Mídia,,midia,,MIDIA,MIDIA HITS LTDA,none,midia hits ltda,Canal Brasil,Ubem_CanalBrasil_Março24 (1).xlsx
Mídia,,midia,,MIDIA,MIDIA HITS LTDA,none,midia hits ltda,Canal Brasil,Relatorio_CanalBrasil_Jan24.xlsx
Mídia,,midia,,MIDIA,MIDIA HITS LTDA,none,midia hits ltda,Canal Brasil,Ubem_CanalBrasil_Fev24 (1).xlsx
PESCADOR,ARMANDINHO,pescador,,PESCADOR,T-040.147.696-7,armandinho,t-040.147.696-7,Globo,MusicCueSheet_TvAberta_Outubro2023.xlsx
BEIJINHO NO OMBRO,VALESCA POPOZUDA,beijinho no ombro,,BEIJINHO NO OMBRO,T-311.569.064-3,valesca popozuda,t-311.569.064-3,Globo,MusicCueSheet_TvAberta_Outubro2023.xlsx
DOMINGO,SÓ PRA CONTRARIAR,domingo,,DOMINGO,T-307.003.485-0,so pra contrariar,t-307.003.485-0,Globo,MusicCueSheet_TvAberta_Outubro2023.xlsx
DOMINGO,SÓ PRA CONTRARIAR,domingo,,DOMINGO,T-301.991.455-3,so pra contrariar,t-301.991.455-3,Globo,MusicCueSheet_TvAberta_Outubro2023.xlsx
MORENA,"JOAO TERRA,FABINHO K,ALLEX REIS",morena,,MORENA,,"joao terra,fabinho k,allex reis",,Globo,MusicCueSheet_TvAberta_Outubro2023.xlsx
MORENA,"JOAO TERRA,FABINHO K,ALLEX REIS",morena,,MORENA,T-312.550.698-7,"joao terra,fabinho k,allex reis",t-312.550.698-7,Globo,MusicCueSheet_TvAberta_Outubro2023.xlsx
ME PERDOA,ALLEX REIS,me perdoa,,ME PERDOA,,allex reis,,Globo,MusicCueSheet_TvAberta_Outubro2023.xlsx
FLY AWAY,YOHAN KISSER,fly away,,FLY AWAY,T-040.081.805-4,yohan kisser,t-040.081.805-4,Globo,MusicCueSheet_TvAberta_Outubro2023.xlsx
FLY AWAY,YOHAN KISSER,fly away,,FLY AWAY,T-312.560.962-9,yohan kisser,t-312.560.962-9,Globo,MusicCueSheet_TvAberta_Outubro2023.xlsx
SAUDADE,ANONIMOS,saudade,,SAUDADE,T-306.509.964-7,anonimos,t-306.509.964-7,Globo,MusicCueSheet_TvAberta_Outubro2023.xlsx
SAUDADE,ANONIMOS,saudade,,SAUDADE,T-039.751.632-3,anonimos,t-039.751.632-3,Globo,MusicCueSheet_TvAberta_Outubro2023.xlsx
SAUDADE,ANONIMOS,saudade,,SAUDADE,,anonimos,,Globo,MusicCueSheet_TvAberta_Outubro2023.xlsx
SAUDADE,ANONIMOS,saudade,,SAUDADE,T-305.264.938-0,anonimos,t-305.264.938-0,Globo,MusicCueSheet_TvAberta_Outubro2023.xlsx
WITH OR WITHOUT YOU,U2,with or without you,,WITH OR WITHOUT YOU,T-320.126.166-3,u2,t-320.126.166-3,Globo,MusicCueSheet_TvAberta_Outubro2023.xlsx
FETICHE,MARIANA MAZU.,fetiche,,FETICHE,T-316.009.896-0,mariana mazu.,t-316.009.896-0,Globo,MusicCueSheet_TvAberta_Outubro2023.xlsx
RECOMECAR,RESTART,recomecar,,RECOMECAR,T-039.311.437-8,restart,t-039.311.437-8,Globo,MusicCueSheet_TvAberta_Outubro2023.xlsx
RECOMECAR,RESTART,recomecar,,RECOMEÇAR,T-308.840.890-2,restart,t-308.840.890-2,Globo,MusicCueSheet_TvAberta_Outubro2023.xlsx
RECOMECAR,RESTART,recomecar,,RECOMEÇAR,T-316.010.042-1,restart,t-316.010.042-1,Globo,MusicCueSheet_TvAberta_Outubro2023.xlsx
RECOMECAR,RESTART,recomecar,,RECOMEÇAR,,restart,,Globo,MusicCueSheet_TvAberta_Outubro2023.xlsx
PRAIA,MURILO HUFF,praia,,PRAIA,,murilo huff,,Globo,MusicCueSheet_TvAberta_Outubro2023.xlsx
ALVORADA,"IVONE LARA,ALCIONE,HELTON MEDEIROS,CARTOLA",alvorada,,ALVORADA,T-040.011.846-8,"ivone lara,alcione,helton medeiros,cartola",t-040.011.846-8,Globo,MusicCueSheet_TvAberta_Outubro2023.xlsx
ALVORADA,"IVONE LARA,ALCIONE,HELTON MEDEIROS,CARTOLA",alvorada,,ALVORADA,,"ivone lara,alcione,helton medeiros,cartola",,Globo,MusicCueSheet_TvAberta_Outubro2023.xlsx
PACIENCIA,"ALCIONE,FERRUGEM",paciencia,,PACIENCIA,T-039.497.721-9,"alcione,ferrugem",t-039.497.721-9,Globo,MusicCueSheet_TvAberta_Outubro2023.xlsx
PACIENCIA,"ALCIONE,FERRUGEM",paciencia,,PACIÊNCIA,T-040.522.253-8,"alcione,ferrugem",t-040.522.253-8,Globo,MusicCueSheet_TvAberta_Outubro2023.xlsx
VINGANCA,LINDA BATISTA,vinganca,,VINGANÇA,T-040.226.902-6,linda batista,t-040.226.902-6,Globo,MusicCueSheet_TvAberta_Outubro2023.xlsx
AURORA,MARTIN GARRIX,aurora,,AURORA,,martin garrix,,Globo,MusicCueSheet_TvAberta_Outubro2023.xlsx
VAMOS ACORDAR,GRANDES PEQUENINOS,vamos acordar,,VAMOS ACORDAR,T-040.011.845-7,grandes pequeninos,t-040.011.845-7,Globo,MusicCueSheet_TvAberta_Outubro2023.xlsx
FORA DOS STORIES,MARI FERNANDEZ,fora dos stories,,FORA DOS STORIES,T-335.482.972-0,mari fernandez,t-335.482.972-0,Globo,MusicCueSheet_TvAberta_Outubro2023.xlsx
DESAFIO,HARMONIA,desafio,,DESAFIO,T-040.453.293-9,harmonia,t-040.453.293-9,Globo,MusicCueSheet_TvAberta_Outubro2023.xlsx
